strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
CHN/CQ7214/2014	2014-09-23	B3	China	China	2.67	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803594	
CHN/CQ7226/2014	2014-09-26	B3	China	China	5.92	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803596	
CHN/CQ7170/2014	2014-09-18	B3	China	China	2.75	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803591	
CHN/CQ5571/2013	2013-10-16	B3	China	China	4.17	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803590	
2014-R970	2014-10-15	B3	China	China	11	6-17y	<18y	<18y		2019-07-15		Zhang,T.	KT280499	
CHN/CQ7233/2014	2014-09-30	B3	China	China	1.92	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803597	
CHN/CQ7208/2014	2014-09-22	B3	China	China	6.92	6-17y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803593	
CHN/CQ7280/2014	2014-10-13	B3	China	China	1.25	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803595	
TW-00821-2014	2014-08-01	B3	Taiwan	China	1	1-5y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711084	
TW-00928-2014	2014-09-03	B3	Taiwan	China	4	1-5y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711085	
TW-00932-2014	2014-09-11	B3	Taiwan	China	3	1-5y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711081	
TW-00909-2014	2014-09-02	B3	Taiwan	China	4	1-5y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711080	
TW-00893-2014	2014-08-22	B3	Taiwan	China	16	6-17y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711079	
TW-00898-2014	2014-08-20	B3	Taiwan	China	17	6-17y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711082	
TW-00785-2014	2014-07-17	B3	Taiwan	China	2	1-5y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711083	
