"","date","country","region","accession","accession_2","strain"
"232","2014-10-31","USA","North America","MK681499","MK681499.1","USA/CA/2014-RGDS-1034"
"233","2014-09-09","USA","North America","KT995558","KT995558.1","USA/WI/2014-19217"
"234","2014-09-14","USA","North America","KT995578","KT995578.1","USA/WA/2014-19060"
"235","2014-09-09","USA","North America","KT995577","KT995577.1","USA/WA/2014-19210"
"236","2014-09-30","USA","North America","MK681489","MK681489.1","USA/CA/2014-RGDS-1024"
"237","2014-10-26","USA","North America","MK681496","MK681496.1","USA/CA/2014-RGDS-1031"
"238","2014-12-09","USA","North America","KT347240","KT347240.1","EVD68/Homosapiens/USA/MO49/2014"
"239","2014-12-31","USA","North America","KT347239","KT347239.1","EVD68/Homosapiens/USA/MO6/2014"
"240","2014-10-01","USA","North America","MK681493","MK681493.1","USA/CA/2014-RGDS-1028"
"241","2014-09-08","USA","North America","KT995559","KT995559.1","USA/SD/2014-19193"
"242","2014-09-10","USA","North America","KT995551","KT995551.1","USA/WA/2014-19184"
"243","2014-09-13","USA","North America","KT995573","KT995573.1","USA/SD/2014-19207"
"244","2014-09-23","USA","North America","KT995614","KT995614.1","USA/SD/2014-19249"
"247","2014-08-31","USA","North America","KM851227","KM851227.1","US/MO/14-18949"
"248","2014-08-15","USA","North America","KM851228","KM851228.1","US/MO/14-18950"
"249","2014-12-31","USA","North America","KT455428","KT455428.1","NYS14_31590"
"251","2014-09-17","USA","North America","KT455430","KT455430.1","NYS14_32368"
"252","2014-08-16","USA","North America","KT455421","KT455421.1","NYS14-27898"
"253","2014-09-21","USA","North America","KT347225","KT347225.1","EVD68/Homosapiens/USA/MO25/2014"
"254","2014-09-21","USA","North America","KT347268","KT347268.1","EVD68/Homosapiens/USA/MO50/2014"
"255","2014-10-26","USA","North America","KT347237","KT347237.1","EVD68/Homosapiens/USA/MO30/2014"
"256","2014-09-29","USA","North America","KT347226","KT347226.1","EVD68/Homosapiens/USA/MO53/2014"
"257","2014-09-13","USA","North America","KT347272","KT347272.1","EVD68/Homosapiens/USA/MO44/2014"
"258","2014-10-11","USA","North America","KT347250","KT347250.1","EVD68/Homosapiens/USA/MO37/2014"
"259","2014-11-17","USA","North America","KT347255","KT347255.1","EVD68/Homosapiens/USA/MO23/2014"
"260","2014-09-29","USA","North America","KT347242","KT347242.1","EVD68/Homosapiens/USA/MO5/2014"
"261","2014-11-07","USA","North America","KT455425","KT455425.1","NYS14_30905"
"262","2014-12-31","USA","North America","KT455426","KT455426.1","NYS14_30917"
"263","2014-09-09","USA","North America","KT995543","KT995543.1","USA/CT/2014-19180"
"264","2014-12-16","USA","North America","KT347246","KT347246.1","EVD68/Homosapiens/USA/MO56/2014"
"265","2014-09-05","USA","North America","KT347243","KT347243.1","EVD68/Homosapiens/USA/MO14/2014"
"266","2014-07-13","USA","North America","KT347235","KT347235.1","EVD68/Homosapiens/USA/MO4/2014"
"267","2014-09-19","USA","North America","KT347270","KT347270.1","EVD68/Homosapiens/USA/MO17/2014"
"268","2014-10-23","USA","North America","KT347230","KT347230.1","EVD68/Homosapiens/USA/MO48/2014"
"269","2014-09-13","USA","North America","KT995581","KT995581.1","USA/RI/2014-19214"
"270","2014-09-23","USA","North America","KT347234","KT347234.1","EVD68/Homosapiens/USA/MO1/2014"
"271","2014-11-10","USA","North America","KT347277","KT347277.1","EVD68/Homosapiens/USA/MO2/2014"
"272","2014-10-16","USA","North America","KT347229","KT347229.1","EVD68/Homosapiens/USA/MO31/2014"
"273","2014-11-10","USA","North America","KT347256","KT347256.1","EVD68/Homosapiens/USA/MO20/2014"
"274","2014-10-20","USA","North America","KT347262","KT347262.1","EVD68/Homosapiens/USA/MO57/2014"
"275","2014-08-24","USA","North America","KT995531","KT995531.1","USA/MO/2014-19166"
"276","2014-09-11","USA","North America","KT995590","KT995590.1","USA/WI/2014-19226"
"277","2014-09-10","USA","North America","KT995612","KT995612.1","USA/OK/2014-19247"
"278","2014-10-07","USA","North America","KT347232","KT347232.1","EVD68/Homosapiens/USA/MO46/2014"
"279","2014-09-15","USA","North America","KT995598","KT995598.1","USA/KS/2014-19234"
"280","2014-12-31","USA","North America","KT455423","KT455423.1","NYS14_30603"
"282","2014-10-10","USA","North America","KT455424","KT455424.1","NYS14_30609"
"283","2014-07-16","USA","North America","KT347266","KT347266.1","EVD68/Homosapiens/USA/MO27/2014"
"284","2014-09-08","USA","North America","KT995564","KT995564.1","USA/MI/2014-19198"
"285","2014-11-30","USA","North America","MK681504","MK681504.1","USA/CA/2014-RGDS-1039"
"286","2014-12-01","USA","North America","MK681505","MK681505.1","USA/CA/2014-RGDS-1040"
"287","2014-09-12","USA","North America","KU669046","KU669046.1","USA/CO/2014-19081"
"288","2014-09-12","USA","North America","KP126911","KP126911.1","US/CO/14-93"
"289","2014-09-12","USA","North America","KP100793","KP100793.1","US/CO/14-94"
