"","date","country","region","accession","accession_2","strain"
"202","2014-08-31","USA","North America","MK268345","MK268345.1","USA/IL/2014-18956"
"203","2014-09-27","USA","North America","KT995625","KT995625.1","USA/TN/2014-19260"
"204","2014-09-02","USA","North America","KT347274","KT347274.1","EVD68/Homosapiens/USA/MO43/2014"
"205","2014-09-16","USA","North America","KT995599","KT995599.1","USA/MD/2014-19235"
"206","2014-11-30","USA","North America","KT347259","KT347259.1","EVD68/Homosapiens/USA/MO9/2014"
"207","2014-12-31","USA","North America","KT347223","KT347223.1","EVD68/Homosapiens/USA/MO54/2014"
"208","2014-09-25","USA","North America","KT995621","KT995621.1","USA/ID/2014-19256"
"209","2014-08-22","USA","North America","KT995565","KT995565.1","USA/IL/2014-19199"
"210","2014-09-12","USA","North America","KT347264","KT347264.1","EVD68/Homosapiens/USA/MO22/2014"
"211","2014-09-05","USA","North America","KT995541","KT995541.1","USA/CO/2014-19190"
"212","2014-09-09","USA","North America","KT995572","KT995572.1","USA/NE/2014-19206"
"213","2014-09-26","USA","North America","KX255389","KX255389.1","EV-D68/Homosapiens/USA/C7745/2014"
"214","2014-09-24","USA","North America","KT995610","KT995610.1","USA/GA/2014-19246"
"215","2014-10-03","USA","North America","KX351804","KX351804.1","EV-D68/Homosapiens/USA/SSENT38/2014"
"216","2014-09-01","USA","North America","MK681491","MK681491.1","USA/CA/2014-RGDS-1026"
"217","2014-08-31","USA","North America","KM851226","KM851226.1","US/MO/14-18948"
"218","2014-11-24","USA","North America","KT347267","KT347267.1","EVD68/Homosapiens/USA/MO34/2014"
"219","2014-09-06","USA","North America","KT347245","KT347245.1","EVD68/Homosapiens/USA/MO59/2014"
"220","2014-09-09","USA","North America","KT995592","KT995592.1","USA/TX/2014-19228"
"221","2014-09-09","USA","North America","KT995554","KT995554.1","USA/VA/2014-19187"
"222","2014-09-07","USA","North America","KT995611","KT995611.1","USA/FL/2014-19070"
"223","2014-10-18","USA","North America","KT347228","KT347228.1","EVD68/Homosapiens/USA/MO15/2014"
"224","2014-09-17","USA","North America","KT347261","KT347261.1","EVD68/Homosapiens/USA/MO60/2014"
"225","2014-09-28","USA","North America","KP745753","KP745753.1","NY126"
"226","2014-09-08","USA","North America","KT995534","KT995534.1","USA/LA/2014-19168"
"227","2014-09-06","USA","North America","KT995602","KT995602.1","USA/MI/2014-19238"
"228","2014-09-09","USA","North America","KT995586","KT995586.1","USA/WI/2014-19222"
"229","2014-12-31","Canada","North America","KP455266","KP455266.1","CAN14-272"
"230","2014-09-15","Canada","North America","KT835407","KT835407.1","EV68/Ontario/C818710/2014"
"231","2014-09-15","Canada","North America","KP455265","KP455265.1","CAN14-198"
"232","2014-09-30","USA","North America","MK681497","MK681497.1","USA/CA/2014-RGDS-1032"
"233","2014-09-16","USA","North America","KX351820","KX351820.1","EV-D68/Homosapiens/USA/SSENT07/2014"
"234","2014-08-04","USA","North America","KT995552","KT995552.1","USA/TX/2014-19185"
"235","2014-09-27","USA","North America","KT347276","KT347276.1","EVD68/Homosapiens/USA/MO21/2014"
"236","2014-09-24","USA","North America","KT995617","KT995617.1","USA/ND/2014-19252"
"237","2014-09-28","USA","North America","KP745770","KP745770.1","NY77"
"238","2014-10-14","USA","North America","KP745757","KP745757.1","NY210"
"239","2014-09-15","USA","North America","KT995597","KT995597.1","USA/CT/2014-19233"
"240","2014-09-18","USA","North America","KX351830","KX351830.1","EV-D68/Homosapiens/USA/SSENT24/2014"
"241","2014-09-28","USA","North America","KX351801","KX351801.1","EV-D68/Homosapiens/USA/SSENT37/2014"
"242","2014-09-28","USA","North America","KP745751","KP745751.1","NY120"
"243","2014-09-30","USA","North America","KP745754","KP745754.1","NY130"
"244","2014-09-19","USA","North America","KX351796","KX351796.1","EV-D68/Homosapiens/USA/SSENT21/2014"
"245","2014-09-25","USA","North America","KT995615","KT995615.1","USA/NJ/2014-19250"
"246","2014-09-25","USA","North America","KT995627","KT995627.1","USA/NJ/2014-19262"
"247","2014-10-16","Mexico","North America","KT803995","KT803995.1","MEX/DGO/2014-InDRE2271"
"248","2014-09-09","USA","North America","KT995584","KT995584.1","USA/LA/2014-19220"
"249","2014-10-27","USA","North America","KT347269","KT347269.1","EVD68/Homosapiens/USA/MO45/2014"
"250","2014-09-13","USA","North America","KT995623","KT995623.1","USA/CO/2014-19258"
"251","2014-09-18","USA","North America","KP745758","KP745758.1","NY263"
"252","2014-09-19","USA","North America","KP745759","KP745759.1","NY275"
"253","2014-09-13","USA","North America","KT995583","KT995583.1","USA/KY/2014-19219"
"254","2014-12-08","Canada","North America","KP455275","KP455275.1","CAN14-260"
"255","2014-09-09","USA","North America","KT995546","KT995546.1","USA/MA/2014-19048"
"256","2014-08-28","USA","North America","KT995569","KT995569.1","USA/RI/2014-19203"
"257","2014-09-08","Sweden","Europe","MH674115","MH674115.1","EVD68_SWE_002_140908_NFLG"
"258","2014-09-16","Sweden","Europe","MH674116","MH674116.1","EVD68_SWE_004_140916_NFLG"
"259","2014-08-14","Sweden","Europe","MH674112","MH674112.1","EVD68_SWE_006_140814_NFLG"
"260","2014-08-14","Sweden","Europe","MH674111","MH674111.1","EVD68_SWE_005_140814_NFLG"
"261","2014-09-16","USA","North America","KT995600","KT995600.1","USA/KY/2014-19236"
"262","2014-11-01","USA","North America","MK681502","MK681502.1","USA/CA/2014-RGDS-1037"
"263","2014-09-15","USA","North America","KT995608","KT995608.1","USA/CO/2014-19244"
"264","2014-09-12","USA","North America","KT995585","KT995585.1","USA/MI/2014-19221"
"265","2014-09-29","USA","North America","KU669042","KU669042.1","USA/MI/2014-19266"
"266","2014-11-08","USA","North America","KT347271","KT347271.1","EVD68/Homosapiens/USA/MO7/2014"
"267","2014-09-14","USA","North America","KT995576","KT995576.1","USA/KY/2014-19209"
"268","2014-09-09","USA","North America","KT995566","KT995566.1","USA/GA/2014-19200"
"269","2014-09-14","USA","North America","KX351827","KX351827.1","EV-D68/Homosapiens/USA/SSENT01/2014"
"270","2014-09-03","USA","North America","KT995582","KT995582.1","USA/SC/2014-19215"
"271","2014-06-08","USA","North America","KT347248","KT347248.1","EVD68/Homosapiens/USA/MO13/2014"
"272","2014-09-11","USA","North America","KT995622","KT995622.1","USA/NE/2014-19257"
"273","2014-08-25","Canada","North America","KP455273","KP455273.1","CAN14-165"
"274","2014-08-27","USA","North America","KT995533","KT995533.1","USA/CO/2014-19175"
"275","2014-11-29","USA","North America","KT347265","KT347265.1","EVD68/Homosapiens/USA/MO36/2014"
"276","2014-09-05","Sweden","Europe","MH674113","MH674113.1","EVD68_SWE_001_140905_NFLG"
"277","2014-09-12","USA","North America","KT995580","KT995580.1","USA/RI/2014-19213"
"278","2014-08-27","Canada","North America","KP455274","KP455274.1","CAN14-826"
"279","2014-09-18","USA","North America","KX351821","KX351821.1","EV-D68/Homosapiens/USA/SSENT39/2014"
"280","2014-09-19","USA","North America","KX351822","KX351822.1","EV-D68/Homosapiens/USA/SSENT16/2014"
"281","2014-09-20","USA","North America","KX351825","KX351825.1","EV-D68/Homosapiens/USA/SSENT28/2014"
"282","2014-09-17","USA","North America","KX351811","KX351811.1","EV-D68/Homosapiens/USA/SSENT08/2014"
"283","2014-09-14","USA","North America","KX351816","KX351816.1","EV-D68/Homosapiens/USA/SSENT09/2014"
"284","2014-10-01","USA","North America","KT995624","KT995624.1","USA/VT/2014-19259"
"285","2014-09-12","USA","North America","KX351814","KX351814.1","EV-D68/Homosapiens/USA/SSENT02/2014"
"286","2014-09-19","USA","North America","KX351803","KX351803.1","EV-D68/Homosapiens/USA/SSENT22/2014"
"287","2014-09-18","USA","North America","KX351805","KX351805.1","EV-D68/Homosapiens/USA/SSENT18/2014"
"288","2014-09-17","USA","North America","KX351819","KX351819.1","EV-D68/Homosapiens/USA/SSENT12/2014"
"289","2014-09-15","USA","North America","KX351824","KX351824.1","EV-D68/Homosapiens/USA/SSENT05/2014"
"290","2014-09-21","USA","North America","KX351817","KX351817.1","EV-D68/Homosapiens/USA/SSENT35/2014"
"291","2014-09-16","USA","North America","KT995596","KT995596.1","USA/MA/2014-19232"
"292","2014-09-03","USA","North America","KT995540","KT995540.1","USA/CO/2014-19189"
"293","2014-09-30","USA","North America","KT347257","KT347257.1","EVD68/Homosapiens/USA/MO10/2014"
"294","2014-09-30","USA","North America","MK681498","MK681498.1","USA/CA/2014-RGDS-1033"
"295","2014-09-14","USA","North America","KT995591","KT995591.1","USA/AR/2014-19227"
"296","2014-09-17","USA","North America","KX351813","KX351813.1","EV-D68/Homosapiens/USA/SSENT17/2014"
"297","2014-09-30","USA","North America","KT995619","KT995619.1","USA/NC/2014-19254"
"298","2014-09-26","USA","North America","KT347227","KT347227.1","EVD68/Homosapiens/USA/MO26/2014"
"299","2014-09-19","USA","North America","KP745760","KP745760.1","NY278"
